BPM,TITLE,KEY,PART,ARTIST,TYPE,ORIGIN,YEAR
70,Houkago no Liberty,G Major,,halca,Anime,We Never Learn,2019
70,Stay Alive,G# Major,,Rie Takahashi,Anime,Re:Zero − Starting Life in Another World,2016
70,again,G Major,,yui,Anime,Fullmetal Alchemist: Brotherhood,2010
70,Ah Yeah!,G# Major,,Sukima Switch,Anime,Haikyuu!! Season 2,2014
70,Vanilla Salt,E Major,,Yui Horie,Anime,Toradora,2009
70,Itsuka Sekai ga,C Major,,Iida Riho,Anime,Boarding School Juliet,2018
70,Ima Koko,E Major,,Nao Touyama,Anime,"As The Moon, So Beautiful",2017
70,Hope,G Major,,Namie Amuro,Anime,One Piece,2017
70,Akatsuki no Hana,D# Major,,Cyntia,Anime,Yona of the Dawn,2015
70,Steppin' Out,G Major,,FLOW,Anime,Durarara!!x2 Ketsu,2016
70.5,Let’s Go To Paradise,F# Major,,"Yuusuke Kobayashi, Junji Majima, Miyu Tomita",Anime,Interspecies Reviewers,2020
70.5,Golden Time,F Major,,Yui Horie,Anime,Golden Time,2013
70.5,LAY YOUR HANDS ON ME,F Major,,Boom Boom Satellites,Anime,Kiznaiver,2016
71,"Kyouran, Hey Kids!!",D# Major,,THE ORAL CIGARETTES,Anime,Noragami Aragoto,2014
71,Is There Still Anything That Love Can Do,A Major,,RADWIMPS,Anime,Weathering With You,2019
71,Kanashii Ureshii,F Major,,frederic,Anime,Love & Lies,2017
71,Turing Love,G Major,,"Akari Nanawo, Sou",Anime,"Science Fell in Love, So I Tried to Prove It",2020
71,Deal with the devil,G Major,,Tia,Anime,Kakegurui,2017
71,Kaze no Uta,E Major,,FLOW,Anime,Tales of Zestiria the X,2016
71,Kimi ga Suki da to Sake Bitai,F Major,,Baad,Anime,Slam Dunk,1993
71,POP TEAM EPIC,F# Major,,Sumire Uesaka,Anime,Pop Team Epic,2018
71,Red fraction,G Major,,MELL,Anime,Black Lagoon,2006
71.5,Ryuusei,C Major,,Eir Aoi,Anime,Sword Art Online Alternative: Gun Gale Online,2018
71.5,The Asterisk War,A# Major,,Shiena Nishizawa,Anime,The Asterisk War: Season 2,2016
71.5,Zettai Zetsumei,D Major,,Co shu Nie,Anime,The Promised Neverland,2019
72,Little Soldier,F# Major,,Azusa Tadokoro,Anime,That Time I Got Reincarnated as a Slime,2019
72,katharsis,G# Major,,TK from Ling tosite sigure,Anime,Tokyo Ghoul:re,2018
