ARTIST,CONTRIBUTING ARTIST,TITLE,KEY,BPM,TYPE,YEAR
My Chemical Romance,,Mama,G,209.0,Western,2006.0
Grimes,,California,F#,204.0,Western,2015.0
Arcade Fire,,Ready To Start,A,191.0,Western,2011.0
Demi Lovato,,Mr Hughes,C,188.0,Western,2015.0
My Chemical Romance,,Vampire Money,B,184.0,Western,2010.0
AURORA,,Conqueror,C,184.0,Western,2016.0
Mike Posner,,Jade,G,182.0,Western,2016.0
Grimes,,Belly of the Beat,F,180.0,Western,2015.0
Arctic Monkeys,,One for the Road,G,180.0,Western,2013.0
Panic! At The Disco,,LA Devotee,E,176.0,Western,2016.0
My Chemical Romance,,The end.,G,175.0,Western,2006.0
Cher Lloyd,,Activated,G,175.0,Western,2016.0
Evanescence,,Going Under,D,175.0,Western,2003.0
My Chemical Romance,,Disenchated,D,174.0,Western,2006.0
twenty one pilots,,Migraine,C,174.0,Western,2013.0
My Chemical Romance,,I Don't Love You,C,170.0,Western,2006.0
Beyoncé,,XO,C,170.0,Western,2014.0
Machine Gun Kelly,Hailee Steinfeld,At My Best,A#,170.0,Western,2017.0
Mike Posner,,One Hell Of A Song,F,170.0,Western,2016.0
twenty one pilots,,Semi-Automatic,A,170.0,Western,2013.0
Panic! At The Disco,,I Write Sins Not Tragedies,C,170.0,Western,2005.0
Florence + The Machine,,Delilah,C,170.0,Western,2015.0
Melanie Martinez,,You Love I (Made 2013/Leaked ??),A#,170.0,Western,2013.0
My Chemical Romance,,Na Na Na (Na Na Na Na Na Na Na Na Na),B,166.0,Western,2010.0
twenty one pilots,,Polarize,A,165.0,Western,2015.0
twenty one pilots,,The Judge,C,165.0,Western,2015.0
Justin Bieber,,Pray,B,164.0,Western,2010.0
That Poppy,,Everybody Wants To Be Poppy,D#,164.0,Western,2015.0
Avril Lavigne,,Girlfriend,D,164.0,Western,2007.0
AURORA,,Running With The Wolves,F,164.0,Western,2015.0
Eminem,,Sing For The Moment,G#,164.0,Western,2002.0
My Chemical Romance,,Party Poison,G,163.0,Western,2010.0
Justin Bieber,,Mistletoe,A,162.0,Western,2011.0
Nicki Minaj,,HOV Lane,D#,162.0,Western,2012.0
AURORA,,Black Water Lilies,B,162.0,Western,2016.0
Fergie,,M.I.L.F. $,C,161.0,Western,2016.0
twenty one pilots,,Lane Boy,C,160.5,Western,2015.0
Taylor Swift,,Shake It Off,G,160.38,Western,2014.0
Selena Gomez, ,Come & Get It,A#,160.0,Western,2013.0
